id,address,clear_address,lat,lon
93411,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, ПАЦАЕВА УЛИЦА, 11",ростовская ростов-на-дону пацаева 11,47.284019,39.70309860926789
93412,Ростовская область,ростовская ,61.0771764,41.9943256
93413,"РОСТОВСКАЯ ОБЛАСТЬ, МОРОЗОВСКИЙ РАЙОН, НИКОЛАЕВ ХУТОР, БЫСТРЫЙ ПЕРЕУЛОК, 4Б",ростовская морозовский николаев быстрый 4б,,
93414,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, СИНЯВСКОЕ СЕЛО, ЛЕНИНА УЛИЦА, ДОМ 351-Б",ростовская неклиновский синявское ленина 351-б,,
93415,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, СОСЕНКИ ПОСЕЛОК, ЮБИЛЕЙНАЯ УЛИЦА, 2",ростовская цимлянский сосенки юбилейная 2,47.6409265,42.0022297
93416,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, МОСКОВСКАЯ УЛИЦА, 237",ростовская азов московская 237,47.0937902,39.45062582747596
93417,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, МАКСИМА ГОРЬКОГО УЛИЦА, 37",ростовская донецк максима горького 37,48.3345094,39.94262955
93418,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, ЛЕНГНИКА УЛИЦА, 9",ростовская новочеркасск ленгника 9,47.423120600000004,40.08592447406484
93419,"РОСТОВСКАЯ ОБЛАСТЬ, КРАСНОСУЛИНСКИЙ РАЙОН, ТАБУНЩИКОВО СЕЛО, СОВЕТСКАЯ УЛИЦА, 63",ростовская красносулинский табунщиково советская 63,47.8076869,40.28228865
93420,"РОСТОВСКАЯ ОБЛАСТЬ, МОРОЗОВСКИЙ РАЙОН, МОРОЗОВСК ГОРОД, ВОРОШИЛОВА УЛИЦА, 11",ростовская морозовский морозовск ворошилова 11,48.34529235,41.857806373036325
93421,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, ЦИМЛЯНСК ГОРОД, ДОНСКАЯ УЛИЦА, 37/10",ростовская цимлянский цимлянск донская 37/10,47.64084615,42.09294948944412
93422,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, ЛЕНИНГРАДСКАЯ УЛИЦА, 47",ростовская азов ленинградская 47,47.111071249999995,39.42334455314834
93423,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, КОМСОМОЛЬСКАЯ УЛИЦА, 86",ростовская донецк комсомольская 86,48.333813649999996,39.94926884059953
93424,Ростовская область,ростовская ,61.0771764,41.9943256
93425,"РОСТОВСКАЯ ОБЛАСТЬ, КАМЕНСК-ШАХТИНСКИЙ ГОРОД, ЛИХОВСКОЙ МИКРОРАЙОН, ВОКЗАЛЬНАЯ УЛИЦА, ДОМ 110-А",ростовская каменск-шахтинский лиховской вокзальная 110-а,,
93426,"РОСТОВСКАЯ ОБЛАСТЬ, МОРОЗОВСКИЙ РАЙОН, МОРОЗОВСК ГОРОД, ЛУНАЧАРСКОГО УЛИЦА, 147",ростовская морозовский морозовск луначарского 147,48.3548037,41.801563023641066
93427,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, ЛУНАЧАРСКОГО УЛИЦА, 8",ростовская азов луначарского 8,47.1115863,39.41445542575836
93428,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, МИРА ПРОСПЕКТ, 43",ростовская донецк мира 43,48.3383817,39.94798685
93429,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, РЕЧНАЯ УЛИЦА, ДОМ 4, КОРПУС А",ростовская новочеркасск речная 4 корпус а,,
93430,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, ПРИАЗОВСКИЙ ПОСЕЛОК, ЛУГОВАЯ УЛИЦА, 1А",ростовская неклиновский приазовский луговая 1а,47.1408063,38.3815929
93431,"РОСТОВСКАЯ ОБЛАСТЬ, ТАРАСОВСКИЙ РАЙОН, ТАРАСОВСКИЙ ПОСЕЛОК, СТРОИТЕЛЕЙ УЛИЦА, ДОМ 22",ростовская тарасовский тарасовский строителей 22,48.7206965,40.37087310859836
93432,"РОСТОВСКАЯ ОБЛАСТЬ, МОРОЗОВСКИЙ РАЙОН, МОРОЗОВСК ГОРОД, НЕВСКОГО УЛИЦА, 7",ростовская морозовский морозовск невского 7,48.355649099999994,41.85161964710243
93433,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, НОСОВО СЕЛО, МИРА УЛИЦА, 28",ростовская неклиновский носово мира 28,47.2770356,38.6676178
93434,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, СТРОИТЕЛЕЙ ПРОСПЕКТ, 16, Б",ростовская волгодонск строителей 16 б,47.5162809,42.1982977
93435,"РОСТОВСКАЯ ОБЛАСТЬ, КАМЕНСК-ШАХТИНСКИЙ ГОРОД, ГАГАРИНА УЛИЦА, 83 А",ростовская каменск-шахтинский гагарина 83 а,,
93436,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, КРАСНОГОРОВСКАЯ УЛИЦА, 16",ростовская азов красногоровская 16,47.09924995,39.443789336317266
93437,"РОСТОВСКАЯ ОБЛАСТЬ, КАМЕНСК-ШАХТИНСКИЙ ГОРОД, ВОРОШИЛОВА УЛИЦА, 10 А",ростовская каменск-шахтинский ворошилова 10 а,48.3099636,40.288648
93438,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОШАХТИНСК ГОРОД, КРУПСКОЙ УЛИЦА, 8",ростовская новошахтинск крупской 8,47.8032474,39.8983043
93439,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, НИЖНЕНОЛЬНАЯ УЛИЦА, 6",ростовская ростов-на-дону нижненольная 6,47.22755135,39.75126882574055
93440,Ростовская область,ростовская ,61.0771764,41.9943256
93441,"РОСТОВСКАЯ ОБЛАСТЬ, ТАЦИНСКИЙ РАЙОН, ЕРМАКОВСКАЯ СТАНИЦА, МОЛОДЕЖНАЯ УЛИЦА, 11",ростовская тацинский ермаковская станица молодежная 11,,
93442,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, КОМСОМОЛЬСКАЯ УЛИЦА, ДОМ 7",ростовская азов комсомольская 7,47.10371965,39.423583550000004
93443,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, МИРА ПРОСПЕКТ, ДОМ 69",ростовская волгодонск мира 69,47.534070400000004,42.206568102839384
93444,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, СТАРТОВАЯ УЛИЦА, 8, 1",ростовская ростов-на-дону стартовая 8 1,47.2923212,39.69069664318182
93445,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, ПРИМОРКА СЕЛО, ИСПОЛКОМОВСКИЙ ПЕРЕУЛОК, 33/1",ростовская неклиновский приморка исполкомовский 33/1,47.2783211,39.0543048
